event_date,start_time,peak_time,end_time,goes_class,goes_location,noaa_active_region
2011-11-09,2011-11-09 13:04:00.000,2011-11-09 13:35:00.000,2011-11-09 14:12:00.000,M1.1,"(0, 0)",11342
2011-11-15,2011-11-15 09:03:00.000,2011-11-15 09:12:00.000,2011-11-15 09:23:00.000,M1.2,"(74, 20)",11348
2011-11-15,2011-11-15 12:30:00.000,2011-11-15 12:43:00.000,2011-11-15 12:50:00.000,M1.9,"(0, 0)",11346
2011-11-15,2011-11-15 22:27:00.000,2011-11-15 22:35:00.000,2011-11-15 22:42:00.000,M1.1,"(80, 20)",11348
2011-12-25,2011-12-25 18:11:00.000,2011-12-25 18:16:00.000,2011-12-25 18:20:00.000,M4.0,"(26, -22)",11387
2011-12-26,2011-12-26 02:13:00.000,2011-12-26 02:27:00.000,2011-12-26 02:36:00.000,M1.5,"(33, -21)",11387
2011-12-26,2011-12-26 20:12:00.000,2011-12-26 20:30:00.000,2011-12-26 20:36:00.000,M2.3,"(42, -21)",11387
2011-12-29,2011-12-29 13:40:00.000,2011-12-29 13:50:00.000,2011-12-29 14:01:00.000,M1.9,"(0, 0)",11389
2011-12-29,2011-12-29 21:43:00.000,2011-12-29 21:51:00.000,2011-12-29 21:59:00.000,M2.0,"(-65, -27)",11389
2011-12-30,2011-12-30 03:03:00.000,2011-12-30 03:09:00.000,2011-12-30 03:13:00.000,M1.2,"(-64, -27)",11389
2011-12-31,2011-12-31 13:09:00.000,2011-12-31 13:15:00.000,2011-12-31 13:19:00.000,M2.4,"(0, 0)",11389
2011-12-31,2011-12-31 16:16:00.000,2011-12-31 16:26:00.000,2011-12-31 16:34:00.000,M1.5,"(-42, -26)",11389
2012-01-14,2012-01-14 13:14:00.000,2012-01-14 13:18:00.000,2012-01-14 13:20:00.000,M1.4,"(0, 0)",11401
2012-01-17,2012-01-17 04:41:00.000,2012-01-17 04:53:00.000,2012-01-17 05:07:00.000,M1.0,"(-54, 18)",11401
2012-01-18,2012-01-18 19:04:00.000,2012-01-18 19:12:00.000,2012-01-18 19:27:00.000,M1.7,"(-33, 17)",11401
2012-01-19,2012-01-19 13:44:00.000,2012-01-19 16:05:00.000,2012-01-19 17:50:00.000,M3.2,"(-22, 32)",11402
2012-01-23,2012-01-23 03:38:00.000,2012-01-23 03:59:00.000,2012-01-23 04:34:00.000,M8.7,"(21, 28)",11402
2012-01-27,2012-01-27 17:37:00.000,2012-01-27 18:37:00.000,2012-01-27 18:56:00.000,X1.7,"(71, 27)",11402
2012-02-06,2012-02-06 19:31:00.000,2012-02-06 20:00:00.000,2012-02-06 20:17:00.000,M1.0,"(60, 19)",11410
2012-03-02,2012-03-02 17:29:00.000,2012-03-02 17:46:00.000,2012-03-02 18:07:00.000,M3.3,"(-83, 16)",11429
2012-03-04,2012-03-04 10:29:00.000,2012-03-04 10:52:00.000,2012-03-04 12:16:00.000,M2.0,"(-61, 19)",11429
2012-03-05,2012-03-05 02:30:00.000,2012-03-05 04:09:00.000,2012-03-05 04:43:00.000,X1.1,"(-52, 17)",11429
2012-03-05,2012-03-05 19:10:00.000,2012-03-05 19:16:00.000,2012-03-05 19:21:00.000,M2.1,"(-44, 14)",11429
2012-03-05,2012-03-05 19:27:00.000,2012-03-05 19:30:00.000,2012-03-05 19:32:00.000,M1.8,"(-44, 14)",11429
2012-03-05,2012-03-05 22:26:00.000,2012-03-05 22:34:00.000,2012-03-05 22:42:00.000,M1.3,"(0, 0)",11429
2012-03-06,2012-03-06 00:22:00.000,2012-03-06 00:28:00.000,2012-03-06 00:31:00.000,M1.3,"(-41, 16)",11429
2012-03-06,2012-03-06 01:36:00.000,2012-03-06 01:44:00.000,2012-03-06 01:50:00.000,M1.2,"(0, 0)",11429
2012-03-06,2012-03-06 04:01:00.000,2012-03-06 04:05:00.000,2012-03-06 04:08:00.000,M1.0,"(-39, 16)",11429
2012-03-06,2012-03-06 07:52:00.000,2012-03-06 07:55:00.000,2012-03-06 08:00:00.000,M1.0,"(0, 0)",11429
2012-03-06,2012-03-06 12:23:00.000,2012-03-06 12:41:00.000,2012-03-06 12:54:00.000,M2.1,"(-36, 18)",11429
2012-03-06,2012-03-06 21:04:00.000,2012-03-06 21:11:00.000,2012-03-06 21:14:00.000,M1.3,"(0, 0)",0
2012-03-06,2012-03-06 22:49:00.000,2012-03-06 22:53:00.000,2012-03-06 23:11:00.000,M1.0,"(0, 0)",11429
2012-03-07,2012-03-07 00:02:00.000,2012-03-07 00:24:00.000,2012-03-07 00:40:00.000,X5.4,"(0, 0)",11429
2012-03-07,2012-03-07 01:05:00.000,2012-03-07 01:14:00.000,2012-03-07 01:23:00.000,X1.3,"(-12, 22)",11430
2012-03-09,2012-03-09 03:22:00.000,2012-03-09 03:53:00.000,2012-03-09 04:18:00.000,M6.3,"(0, 0)",11429
2012-03-10,2012-03-10 17:15:00.000,2012-03-10 17:44:00.000,2012-03-10 18:30:00.000,M8.4,"(0, 0)",11429
2012-03-13,2012-03-13 17:12:00.000,2012-03-13 17:41:00.000,2012-03-13 18:25:00.000,M7.9,"(0, 0)",11429
2012-03-14,2012-03-14 15:08:00.000,2012-03-14 15:21:00.000,2012-03-14 15:36:00.000,M2.8,"(-5, 14)",11432
